world_rank,university_name,country,research,citations,international_students,year
109,Seoul National University,South Korea,54.1,54.6,10%,2011
111,Hong Kong Baptist University,Hong Kong,32.5,97.6,25%,2011
112,Bilkent University,Turkey,36.1,95.7,,2011
112,Tokyo Institute of Technology,Japan,63.4,45.5,13%,2011
114,Eindhoven University of Technology,Netherlands,51.7,56.9,14%,2011
115,National Taiwan University,Taiwan,59,61.6,7%,2011
115,University of Hawaiâ€™i at MÄÅnoa,United States of America,47.6,81,,2011
117,"University of California, Riverside",United States of America,47.4,78.3,12%,2011
118,University of Geneva,Switzerland,49.7,63.1,39%,2011
119,KU Leuven,Belgium,62.9,45.2,18%,2011
120,Nanjing University,China,46.2,66,10%,2011
120,Queen Mary University of London,United Kingdom,44.1,73.5,40%,2011
122,Michigan State University,United States of America,52.7,63.7,15%,2011
122,Technical University of Denmark,Denmark,46.9,64.6,18%,2011
124,Ghent University,Belgium,59.1,52.8,9%,2011
124,Lancaster University,United Kingdom,41.9,74.9,33%,2011
124,Leiden University,Netherlands,54.9,59.3,10%,2011
127,University of Alberta,Canada,58,49.7,23%,2011
128,University of Glasgow,United Kingdom,50.3,65.1,29%,2011
129,Stockholm University,Sweden,49.2,75.9,8%,2011
130,Osaka University,Japan,63.4,40,9%,2011
130,University of Victoria,Canada,48.3,79.1,11%,2011
132,Tohoku University,Japan,62.5,41.2,7%,2011
132,University of Freiburg,Germany,41.4,64.3,16%,2011
132,University of Iowa,United States of America,59.8,54.8,11%,2011
135,University of Bergen,Norway,42.1,73.1,12%,2011
136,University of Lausanne,Switzerland,50.5,59.1,22%,2011
137,University of Sheffield,United Kingdom,49.2,58.4,31%,2011
138,University of Montreal,Canada,49.4,51.9,25%,2011
139,VU University Amsterdam,Netherlands,51.6,58.5,6%,2011
140,Pierre and Marie Curie University,France,37.2,71.5,18%,2011
140,University of Dundee,United Kingdom,41,79.3,25%,2011
142,University of Barcelona,Spain,33.7,91.9,10%,2011
143,Utrecht University,Netherlands,53,58.8,7%,2011
144,Wageningen University and Research Center,Netherlands,48.8,53,21%,2011
145,University of Auckland,New Zealand,39.2,71.8,28%,2011
145,University of Birmingham,United Kingdom,50.7,52.1,23%,2011
147,Alexandria University,Egypt,28,99.8,1%,2011
147,Uppsala University,Sweden,62.2,40.7,12%,2011
149,Hong Kong Polytechnic University,Hong Kong,45.7,62.4,26%,2011
149,University of Aberdeen,United Kingdom,45.2,64.6,33%,2011
151,Delft University of Technology,Netherlands,67.7,29,25%,2011
152,"Birkbeck, University of London",United Kingdom,35.8,70.6,38%,2011
152,Newcastle University,United Kingdom,42.8,63.6,29%,2011
152,University of New South Wales,Australia,48.9,51.2,33%,2011
155,Pompeu Fabra University,Spain,33,84.7,13%,2011
156,Indiana University,United States of America,42.5,63.2,13%,2011
156,Iowa State University,United States of America,49.6,58.2,11%,2011
158,Georgia Health Sciences University,United States of America,41.7,48.9,,2011
159,Erasmus University Rotterdam,Netherlands,43.6,65.5,18%,2011
159,University of Delaware,United States of America,51.9,61.3,10%,2011
161,Arizona State University,United States of America,44.1,66.9,9%,2011
161,Boston College,United States of America,33.6,78,19%,2011
163,National Sun Yat-Sen University,Taiwan,50.6,58.9,4%,2011
164,Georgetown University,United States of America,44.7,45,14%,2011
165,University of Amsterdam,Netherlands,49.2,60.2,11%,2011
165,University of Liverpool,United Kingdom,47.8,59.6,30%,2011
167,Aarhus University,Denmark,55.6,57.3,14%,2011
168,University of Leeds,United Kingdom,48,55.6,21%,2011
168,University of WÃ_rzburg,Germany,40.9,60.4,8%,2011
170,University of Groningen,Netherlands,56.4,54.1,12%,2011
171,Sun Yat-sen University,China,34.7,70.2,8%,2011
172,Goethe University Frankfurt,Germany,37.3,69.5,15%,2011
173,Bielefeld University,Germany,35.7,70.4,8%,2011
174,Nanyang Technological University,Singapore,51.7,45,33%,2011
174,University of East Anglia,United Kingdom,40.4,62.8,28%,2011
174,University of Nottingham,United Kingdom,44.1,52.5,27%,2011
177,University of Copenhagen,Denmark,45.7,58.3,19%,2011
178,Humboldt University of Berlin,Germany,44.5,52,16%,2011
178,Monash University,Australia,38.8,60.5,36%,2011
178,University of Bonn,Germany,33.8,65.3,13%,2011
181,National Chiao Tung University,Taiwan,54.4,32.9,5%,2011
182,RWTH Aachen University,Germany,42.5,48.9,16%,2011
183,Middle East Technical University,Turkey,39.5,66.4,7%,2011
184,University of Exeter,United Kingdom,42.5,57.9,28%,2011
185,University of Twente,Netherlands,48.3,42,26%,2011
186,University of Konstanz,Germany,40.1,51.3,12%,2011
187,Karlsruhe Institute of Technology,Germany,35.4,60.7,16%,2011
187,University of Innsbruck,Austria,34.8,60.2,39%,2011
189,University of TÃ_bingen,Germany,36.3,57.3,12%,2011
190,Drexel University,United States of America,35.9,58.2,18%,2011
190,University of Cincinnati,United States of America,40.4,61.5,6%,2011
190,Yonsei University,South Korea,48.7,52.2,14%,2011
193,Dalhousie University,Canada,50.2,48.8,18%,2011
193,KTH Royal Institute of Technology,Sweden,56.2,29.2,21%,2011
195,University of Vienna,Austria,45.7,45.6,25%,2011
196,Kent State University,United States of America,33.3,76.8,8%,2011
197,University of Illinois at Chicago,United States of America,46.8,34.7,17%,2011
197,Zhejiang University,China,41.3,44.3,5%,2011
199,Simon Fraser University,Canada,44.2,60.2,19%,2011
199,Swedish University of Agricultural Sciences,Sweden,49.5,41.7,,2011
